Name,Address,X,Y,Longitude,Latitude,Zone
Fullerton Health Vaccination Centre @ Raffles City Convention,"Raffles City Convention Centre Level 4 Orchard Room, 252 North Bridge Road, Singapore 179103",30203.71522,30697.70552,103.8531199,1.293893579,Central
Tanjong Pagar Community Club,Cantonment Road Singapore 089774,28921.24825,28727.59823,103.8415963,1.276076684,Central
Jalan Besar Community Club,"69 Jellicoe Road, Singapore 208737",31170.24625,32254.45336,103.8618048,1.307972173,Central
Bishan Community Club,"51 Bishan Street 13, Singapore 579799",29939.93801,36876.099,103.8507501,1.3497688,Central
Raffles Medical Vaccination Centre - Airport,10 Airport Boulevard #01-01 Passenger Building Terminal 4 Singapore 819665,45003.06301,37590.67743,103.986102,1.356226404,East
Marine Parade Community Club,"278 Marine Parade Road, Singapore 449282",36483.33356,31906.96356,103.9095453,1.304828599,East
Woodlands Galaxy Community Club,"31 Woodlands Avenue 6, Singapore 738991",24582.71686,46747.45074,103.802611,1.439041615,North
Teck Ghee Community Club,"861 Ang Mo Kio Avenue 10, Singapore 569734",30249.96903,38348.94648,103.8535361,1.363088685,North
Senja-Cashew Community Club,"101 Bukit Panjang Road, Singapore 679910",20359.12017,40394.47476,103.7646596,1.381586799,North
Canberra Community Club,"2 Sembawang Crescent, Singapore 757632",26486.79402,47420.4264,103.8197209,1.44512793,North
Bukit Timah Community Club,"20 Toh Yi Drive, Singapore 596569",21140.74309,35850.08503,103.7716841,1.340489176,North
The Serangoon Community Club,"10 Serangoon North Avenue 2, Singapore 555877",32528.83236,39111.78245,103.8740133,1.369987239,North East
Former Hong Kah Secondary School,"931 Jurong West Street 42, Singapore 649370",16177.26618,37086.20754,103.7270839,1.351666671,West
Taman Jurong Community Club,"1 Yung Sheng Road, Singapore 618495",15569.82897,35277.24116,103.7216264,1.335306806,West